154,[ 0.60843396  2.98750591]
155,[ 0.60824722  2.98536515]
156,[ 0.60817963  2.98548436]
157,[ 0.60815674  2.98570251]
158,[ 0.60814083  2.98576665]
159,[ 0.60812861  2.98579264]
160,[ 0.60811913  2.98580623]
161,[ 0.6081115   2.98581171]
162,[ 0.60810512  2.98581243]
163,[ 0.6080997   2.98581052]
164,[ 0.60809499  2.98580694]
165,[ 0.60809082  2.98580241]
166,[ 0.60808712  2.98579669]
167,[ 0.60808384  2.98579073]
168,[ 0.60808086  2.98578477]
169,[ 0.60807818  2.98577857]
170,[ 0.6080758   2.98577213]
171,[ 0.60807359  2.98576593]
172,[ 0.60807163  2.98576021]
173,[ 0.60806984  2.98575449]
174,[ 0.60806823  2.98574901]
175,[ 0.60806674  2.98574376]
176,[ 0.60806543  2.98573899]
177,[ 0.60806417  2.98573446]
178,[ 0.6080631   2.98573017]
179,[ 0.60806209  2.98572612]
180,[ 0.60806113  2.98572254]
181,[ 0.60806036  2.98571897]
182,[ 0.60805959  2.98571587]
183,[ 0.60805887  2.98571277]
184,[ 0.60805827  2.98571014]
185,[ 0.60805768  2.98570776]
186,[ 0.6080572   2.98570538]
187,[ 0.60805666  2.98570323]
188,[ 0.60805625  2.98570132]
189,[ 0.60805589  2.98569965]
190,[ 0.60805553  2.98569798]
191,[ 0.60805517  2.98569655]
192,[ 0.60805488  2.98569512]
193,[ 0.60805464  2.98569393]
194,[ 0.6080544   2.98569274]
195,[ 0.60805416  2.98569155]
196,[ 0.60805398  2.98569083]
197,[ 0.6080538   2.98568988]
198,[ 0.60805362  2.98568916]
199,[ 0.60805345  2.98568845]
200,[ 0.60805333  2.98568773]
201,[ 0.60805321  2.98568726]
202,[ 0.60805309  2.98568654]
203,[ 0.60805297  2.98568606]
204,[ 0.60805285  2.98568583]
205,[ 0.60805279  2.98568511]
206,[ 0.60805273  2.98568487]
207,[ 0.60805261  2.98568439]
208,[ 0.60805255  2.98568416]
209,[ 0.60805249  2.98568368]
210,[ 0.60805243  2.98568344]
211,[ 0.60805243  2.9856832 ]
212,[ 0.60805237  2.9856832 ]
213,[ 0.60805231  2.98568296]
214,[ 0.60805231  2.98568273]
215,[ 0.60805225  2.98568273]
216,[ 0.60805225  2.98568249]
217,[ 0.60805219  2.98568225]
218,[ 0.60805219  2.98568225]
219,[ 0.60805213  2.98568201]
220,[ 0.60805213  2.98568201]
221,[ 0.60805213  2.98568201]
222,[ 0.60805207  2.98568177]
223,[ 0.60805207  2.98568177]
224,[ 0.60805207  2.98568153]
225,[ 0.60805207  2.98568153]
226,[ 0.60805202  2.98568153]
227,[ 0.60805202  2.98568153]
228,[ 0.60805202  2.98568153]
229,[ 0.60805202  2.98568153]
230,[ 0.60805202  2.9856813 ]
231,[ 0.60805202  2.9856813 ]
232,[ 0.60805196  2.9856813 ]
233,[ 0.60805196  2.9856813 ]
234,[ 0.60805196  2.9856813 ]
235,[ 0.60805196  2.9856813 ]
236,[ 0.60805196  2.98568106]
237,[ 0.60805196  2.98568106]
238,[ 0.60805196  2.98568106]
239,[ 0.60805196  2.98568106]
240,[ 0.60805196  2.9856813 ]
241,[ 0.60805196  2.98568106]
242,[ 0.60805196  2.98568106]
243,[ 0.60805196  2.98568106]
244,[ 0.60805196  2.98568106]
245,[ 0.60805196  2.98568106]
246,[ 0.60805196  2.98568106]
247,[ 0.60805196  2.98568106]
248,[ 0.60805196  2.98568106]
249,[ 0.60805196  2.98568106]
250,[ 0.60805196  2.98568106]
251,[ 0.60805196  2.98568106]
252,[ 0.6080519   2.98568106]
253,[ 0.6080519   2.98568106]
254,[ 0.6080519   2.98568106]
255,[ 0.6080519   2.98568106]
256,[ 0.6080519   2.98568106]
257,[ 0.6080519   2.98568106]
258,[ 0.6080519   2.98568106]
259,[ 0.6080519   2.98568106]
260,[ 0.6080519   2.98568082]
261,[ 0.6080519   2.98568106]
262,[ 0.6080519   2.98568106]
263,[ 0.6080519   2.98568106]
264,[ 0.6080519   2.98568106]
265,[ 0.6080519   2.98568106]
266,[ 0.6080519   2.98568106]
267,[ 0.6080519   2.98568106]
268,[ 0.6080519   2.98568106]
269,[ 0.6080519   2.98568106]
270,[ 0.6080519   2.98568106]
271,[ 0.6080519   2.98568106]
272,[ 0.6080519   2.98568106]
273,[ 0.6080519   2.98568106]
274,[ 0.6080519   2.98568106]
275,[ 0.6080519   2.98568106]
276,[ 0.6080519   2.98568106]
277,[ 0.6080519   2.98568106]
278,[ 0.6080519   2.98568106]
279,[ 0.6080519   2.98568106]
280,[ 0.6080519   2.98568106]
281,[ 0.6080519   2.98568106]
282,[ 0.6080519   2.98568106]
283,[ 0.60805196  2.98568106]
284,[ 0.6080519   2.98568106]
285,[ 0.6080519   2.98568106]
286,[ 0.6080519   2.98568106]
287,[ 0.6080519   2.98568106]
288,[ 0.6080519   2.98568106]
289,[ 0.6080519   2.98568106]
290,[ 0.6080519   2.98568106]
291,[ 0.6080519   2.98568106]
292,[ 0.6080519   2.98568106]
293,[ 0.6080519   2.98568106]
294,[ 0.6080519   2.98568106]
295,[ 0.6080519   2.98568106]
296,[ 0.6080519   2.98568106]
297,[ 0.6080519   2.98568106]
298,[ 0.6080519   2.98568106]
299,[ 0.6080519   2.98568106]
300,[ 0.6080519   2.98568106]
301,[ 0.6080519   2.98568106]
302,[ 0.6080519   2.98568106]
303,[ 0.6080519   2.98568106]
304,[ 0.6080519   2.98568106]
305,[ 0.6080519   2.98568106]
306,[ 0.6080519   2.98568106]
